url,source_path,title,current_og_image,reason,suggested_asset_path
https://tedt.org/,index.html,Ted Tschopp | AI Strategy & Enterprise Architecture,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/home-social.webp
https://tedt.org/About/,_posts/Policy/1993-01-01-about.md,About the Website | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/about-social.webp
https://tedt.org/Al-Swearengen-Announcing-your-plans-is-a-goo/,_posts/Quotes/2004-01-01-Al-Swearengen-Announcing-your-plans-is-a-goo.md,Announcing your plans is a good way to hear God laugh – Al Swearengen | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/al-swearengen-announcing-your-plans-is-a-goo-social.webp
https://tedt.org/Al-Swearengen-In-life-you-have-to-do-a-lot-o/,_posts/Quotes/2004-01-01-Al-Swearengen-In-life-you-have-to-do-a-lot-o.md,Life Is One Vile Task After Another – Al Swearengen | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/al-swearengen-in-life-you-have-to-do-a-lot-o-social.webp
https://tedt.org/Alfred-A.-Montapert-Do-not-confuse-motion-and-prog/,_posts/Quotes/1965-01-01-Alfred-A.-Montapert-Do-not-confuse-motion-and-prog.md,Do Not Confuse Motion with Progress – Alfred A. Montapert | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/alfred-a-montapert-do-not-confuse-motion-and-prog-social.webp
https://tedt.org/Bill-Gates-Success-is-a-lousy-teacher-It/,_posts/Quotes/1995-01-01-Bill-Gates-Success-is-a-lousy-teacher-It.md,Success Is a Lousy Teacher – Bill Gates | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/bill-gates-success-is-a-lousy-teacher-it-social.webp
https://tedt.org/Blackberry-PR-MDM-has-become-table-stakes;-i/,_posts/Quotes/2014-05-13-Blackberry-PR-MDM-has-become-table-stakes;-i.md,MDM Is No Longer a Differentiator – BlackBerry PR | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/blackberry-pr-mdm-has-become-table-stakes-i-social.webp
https://tedt.org/Brad-Bird-In-many-ways-the-work-of-a-cr/,_posts/Quotes/2007-06-29-Brad-Bird-In-many-ways-the-work-of-a-cr.md,"A Great Artist Can Come from Anywhere – Anton Ego, *Ratatouille* | Ted Tschopp",https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/brad-bird-in-many-ways-the-work-of-a-cr-social.webp
https://tedt.org/CS-Lewis-Children-have-one-kind-of-sill/,_posts/Quotes/1955-01-01-CS-Lewis-Children-have-one-kind-of-sill.md,Children Have One Kind of Silliness – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-children-have-one-kind-of-sill-social.webp
https://tedt.org/CS-Lewis-How-can-they-(ie-the-gods)-m/,_posts/Quotes/1956-01-01-CS-Lewis-How-can-they-(ie-the-gods)-m.md,Till We Have Faces – C.S. Lewis on Becoming Real | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-how-can-they-ie-the-gods-m-social.webp
https://tedt.org/CS-Lewis-I-didn't-go-to-religion-to-mak/,_posts/Quotes/1970-01-01-CS-Lewis-I-didn't-go-to-religion-to-mak.md,Christianity Is Not for Comfort – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-i-didn-t-go-to-religion-to-mak-social.webp
https://tedt.org/CS-Lewis-I-live-in-the-Managerial-Age/,_posts/Quotes/1942-01-01-CS-Lewis-I-live-in-the-Managerial-Age.md,My Symbol for Hell – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-i-live-in-the-managerial-age-social.webp
https://tedt.org/CS-Lewis-Of-all-tyrannies-a-tyranny-si/,_posts/Quotes/1970-01-01-CS-Lewis-Of-all-tyrannies-a-tyranny-si.md,The Most Oppressive Tyranny – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-of-all-tyrannies-a-tyranny-si-social.webp
https://tedt.org/CS-Lewis-Question-Do-you-feel-then-t/,_posts/Quotes/1963-01-01-CS-Lewis-Question:-Do-you-feel-then-t.md,The Gospel Opposed to the World – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-question-do-you-feel-then-t-social.webp
https://tedt.org/CS-Lewis-The-great-difficulty-is-to-get/,_posts/Quotes/1952-01-01-CS-Lewis-The-great-difficulty-is-to-get.md,Preaching Christianity as Truth – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-the-great-difficulty-is-to-get-social.webp
https://tedt.org/CS-Lewis-The-real-test-of-being-in-the/,_posts/Quotes/1952-01-01-CS-Lewis-The-real-test-of-being-in-the.md,The Test of God’s Presence – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-the-real-test-of-being-in-the-social.webp
https://tedt.org/CS-Lewis-The-sweetest-thing-in-all-my-l/,_posts/Quotes/1956-01-01-CS-Lewis-The-sweetest-thing-in-all-my-l.md,The Sweetest Thing Has Been the Longing – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-the-sweetest-thing-in-all-my-l-social.webp
https://tedt.org/CS-Lewis-There-are-no-ordinary-people/,_posts/Quotes/1941-01-01-CS-Lewis-There-are-no-ordinary-people.md,There Are No Ordinary People – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-there-are-no-ordinary-people-social.webp
https://tedt.org/CS-Lewis-There-is-no-safe-investment-T/,_posts/Quotes/1960-01-01-CS-Lewis-There-is-no-safe-investment-T.md,To Love Is to Be Vulnerable – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-there-is-no-safe-investment-t-social.webp
https://tedt.org/CS-Lewis-We-are-told-that-Christ-was-ki/,_posts/Quotes/1952-01-01-CS-Lewis-We-are-told-that-Christ-was-ki.md,That Is Christianity – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-we-are-told-that-christ-was-ki-social.webp
https://tedt.org/CS-Lewis-You-cannot-study-Pleasure-in-t/,_posts/Quotes/1970-01-01-CS-Lewis-You-cannot-study-Pleasure-in-t.md,You Cannot Study Pleasure in the Moment – C.S. Lewis | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/cs-lewis-you-cannot-study-pleasure-in-t-social.webp
https://tedt.org/Charlie-Brooker-and-Konnie-Huq-I-havent-got-a-speech-I-didn/,_posts/Quotes/2011-12-11-Charlie-Brooker-and-Konnie-Huq-I-havent-got-a-speech-I-didn.md,Fake Fodder and Real Pain – Black Mirror's Fifteen Million Merits | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/charlie-brooker-and-konnie-huq-i-havent-got-a-speech-i-didn-social.webp
https://tedt.org/Clay-Christensen-When-our-early-aviators-looked/,_posts/Quotes/2012-01-01-Clay-Christensen-When-our-early-aviators-looked.md,Wings and Feathers Are Not Enough – Clay Christensen | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/clay-christensen-when-our-early-aviators-looked-social.webp
https://tedt.org/Comment_Policy/,_posts/Policy/1993-01-01-Comment-Policy.md,Comment Policy | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/comment-policy-social.webp
https://tedt.org/Copyright/,_posts/Policy/1993-01-01-Copyright-Policy.md,Copyright Notice | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/copyright-social.webp
https://tedt.org/Dorthy-Sayers-It-it-is-worse-than-useless-f/,_posts/Quotes/1947-01-01-Dorthy-Sayers-It-it-is-worse-than-useless-f.md,Christian Morality Without Theology Is Useless – Dorothy Sayers | Ted Tschopp,https://tedt.org/img/Site-Logo.webp,generic site logo fallback,/img/social/dorthy-sayers-it-it-is-worse-than-useless-f-social.webp
